Period,AMR,LngLat,T35,P35,T68max,P68,T911,T122min,Age Group
2012-2014,1.2,"48.6616° N, 9.3501° E",12.36458302,167.9499969,25.33333397,266.8333435,14.03125,-4.291666508,adult
1999-2015,4.9375,"50.5214° N, 14.5098° E",13.72794151,152.3150787,24.02941132,267.5709534,14.17647076,-3.102941275,young
2011-2017,0,"50.5218° N, 14.5114° E",13.84821415,137.9651794,24.4285717,269.8714294,14.73214245,-2.714285612,adult
2006-2007,3.286219081,"56.28855° N, 9.962275° E",11.390625,130.0531311,21.5,273.8999939,14.046875,-4,young
2006-2007,3.993174061,"56.28855° N, 9.962275° E",11.390625,130.0531311,21.5,273.8999939,14.046875,-4,young
2006-2007,11.41935,"56.28855° N, 9.962275° E",11.390625,130.0531311,21.5,273.8999939,14.046875,-4,young
2006-2007,11.84210526,"56.28855° N, 9.962275° E",11.390625,130.0531311,21.5,273.8999939,14.046875,-4,young
2009-2015,2.416383,"50.618889° N, 15.850278° E",11.38839245,150.8973236,22.7142849,275.1714172,12.84821415,-5.857142925,adult
2014-2015,1.9,"51.0950° N, 4.4478° E",13.3125,135.1999969,24,275.75,15.296875,2.5,adult
2010-2014,3.401961,"48.5618° N, 10.6792° E",12.83125019,151.5837555,24.60000038,277.7600098,13.93124962,-4.012499809,young
1996-2011,2.466666667,"49.8151° N, 22.2339° E",13.38085938,163.1371155,24.74609375,285.1980591,13.56445313,-5.17578125,adult
2009-2011,2.009081,"48.59355° N, 7.940581° E",15.32291698,168.0749969,25.33333397,285.5666809,15.9375,-2.333333254,young
1999-2015,4.55,"48.771° N, 17.042° E",15.60110283,149.8794098,26.94117737,286.5834656,15.21139717,-3.176470518,young
1999-2015,5.0625,"48.771° N, 17.042° E",15.60110283,149.8794098,26.94117737,286.5834656,15.21139717,-3.176470518,young
1999-2015,4.0625,"48.8985° N, 17.5564° E",13.72794151,158.8327179,24.77205849,286.870575,13.79227924,-4.669117451,young
2009-2016,9.056777,"59.312062° N, 10.26053° E",11.98828125,174.6289063,21.375,288.2000122,13.33984375,-4.875,adult
2009-2016,10.80704,"59.312062° N, 10.26053° E",11.98828125,174.6289063,21.375,288.2000122,13.33984375,-4.875,young
2009-2015,2.382657,"50.650833° N, 15.888611° E",11.38839245,154.8544617,22,289.3714294,12.84821415,-6.428571224,adult
2009-2012,3.333333333,"48.1972° N, 7.6776° E",15.546875,177.6921844,25.75,291.1000061,16.0859375,-1.5,young
2009-2012,0.666666667,"48.34042° N, 7.868861° E",15.140625,182.1687469,25.75,296.8999939,15.734375,-1.609375,young
2012-2014,22.48996,"48.417° N, 11.883° E",13.04166698,178.1062469,25,297.1666565,14.30208302,-4.895833492,adult
2012-2014,14.95984,"48.4015° N, 11.7414° E",12.5,171.3312531,24.66666603,298,13.73958302,-5.666666508,adult
2009-2015,0.9333333,"50.708333° N, 15.833611° E",10.625,165.1649432,20.85918358,301.4222373,12.15178585,-6.714285851,adult
2009-2015,1.785714,"50.664167° N, 15.851944° E",11.38839245,159.9116058,21,301.9857178,12.84821415,-6.714285851,adult
2009-2020,1.928374656,"58.1599° N, 12.1361° E",10.75,145.9541626,21.66666603,308.2333374,12.02083302,-3.708333254,adult
2011-2011,3,"55.6763° N, 13.3300° E",12.09375,109.8249969,21.0625,312.2000122,14.46875,-3.5625,adult
2010-2014,1.088235,"48.4015° N, 11.7414° E",12.69999981,168.4275055,24.20000076,316.019989,13.78125,-4.974999905,adult
2010-2014,8.960784,"48.4015° N, 11.7414° E",12.69999981,168.4275055,24.20000076,316.019989,13.78125,-4.974999905,adult
2010-2014,12.69608,"48.4015° N, 11.7414° E",12.69999981,168.4275055,24.20000076,316.019989,13.78125,-4.974999905,young
1996-2011,10.66666667,"49.8335° N, 19.9396° E",14.03320313,181.6355438,25.375,337.4562378,14.04296875,-5.4453125,adult
2014-2019,7.204717,"47.3577° N, 8.4850° E",13.82291698,272.5291748,25.5,363.0166626,15.16666698,-1.666666627,adult
2010-2014,1.892157,"48.2592° N, 12.5868° E",13.3125,198.5512543,24.60000038,364.4599915,13.98124981,-4.25,adult
2010-2014,7.529412,"48.2592° N, 12.5868° E",13.3125,198.5512543,24.60000038,364.4599915,13.98124981,-4.25,adult
2010-2014,8.921569,"48.2592° N, 12.5868° E",13.3125,198.5512543,24.60000038,364.4599915,13.98124981,-4.25,young
2011-2019,8.840979,"47.3577° N, 8.4850° E",13.86111069,259.3117981,24.77777863,372.4888916,15.19097233,-2.027777672,adult
2014-2019,0.9850457,"46.8182° N, 8.2275° E",7.484375,343.0343628,19.5,420.5333252,10.359375,-4.927083492,adult
2009-2019,0.652625581,"46.8182° N, 8.2275° E",7.477272511,324.8505554,18.81818199,428.8181763,10.24147701,-6.045454502,adult
2010-2013,17.14706,"47.7608° N, 12.6497° E",11.1484375,272.1499939,23,539.9249878,12.65625,-6.09375,young
2010-2014,8.352941,"47.6302° N, 13.0001° E",8.431249619,287.0037537,22.79999924,568.8200073,10.59375,-6.949999809,young
2012-2016,7.420516,"60.607299° N, 5.882365° E",6.731249809,608.4387207,15.19999981,676.3399658,9.449999809,-3.599999905,adult
